Year,Month,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd,Day,Casino,EGM,Keno,Lottery,Wagering,btc_per_month
2010,9,0.1178205806,4286888.70967742,508629.716172581,3814.3935677419,1,0.0008100658,0,1.6774193548,0,0.0159446532,1660.9541637716,1167.4185241936,0.0323646355,20.3311675463,2.596028174,577.7096774194,464.3548387097,130098.548387097,464.3548387097,366.6451612903,167852.509078248,67894.1935483871,7523.6451612903,16,51058714.03,163020552.33,8052907.24,34567416.53,38739330.31,279577.043010753
2010,10,0.2847599,4599968.33333333,1310241.44704333,7418.2179933333,4.5,0.0035014719,0,13.1,0,0.0487247585,5123.717091756,2843.14901,0.1696666667,35.0835329148,5.6374228763,702.6666666667,2112.3,162497.166666667,2112.3,656.7,103640.086072527,48355.6333333333,14835.7666666667,15.5,47886191.98,152115772.21,8484796.73,30892921.62,40577701.6,313079.623655913
2010,12,0.2516892581,4891006.4516129,1232299.03538548,2041.6558193548,10,0.0009492931,0,3.1935483871,0,0.1026116247,11760.3025180055,2266.8368048387,0.08795682,41.1550009208,4.2552436707,748.4838709677,553.2580645161,209174.290322581,553.2580645161,419.4193548387,84869.4444224742,30036.8709677419,7480.3548387097,16,37685081.04,158655219.34,6411285.98,44332691.22,30878902.46,291038.11827957
2011,1,0.3814120968,5151070.96774194,1968855.70440161,4742.2223709678,10,0.0021461866,0,6.2580645161,0,0.1479469638,17934.5488832516,3175.6348483871,0.2664384719,32.7223971416,3.003463124,1257.5161290323,1120.5161290323,234613.580645161,1120.5161290323,990.935483871,116998.108788313,51125.4838709677,20590.4838709677,16,48670488.81,152941496.12,9189499.61,27340308.74,32384455.9,260064.516129033
2011,2,0.9682611429,5413630.35714286,5243620.1888375,11757.3267892857,10,0.002637196,0,9.1785714286,0,0.3075660304,30477.9816869179,9707.5871392857,0.4572073496,29.856921083,6.3019745375,2363.7142857143,1683.5357142857,273540.607142857,1683.5357142857,1245.4285714286,162976.440451546,41286.2857142857,39658.5357142857,14.5,42589381.06,141787045.36,8342927.76,31312957.78,27728762.56,262559.389400922
2011,3,0.8802330645,5686916.12903226,5003306.60969516,6678.7340032258,11.3225806452,0.0058659861,0,17.1935483871,0,0.5315641924,69479.2703775451,6962.9389163548,4.2020298548,13.0994961619,2.9138841333,3323.5806451613,2681.0967741936,340546.387096774,2681.0967741936,2090.6774193548,301590.353763,79434,70693.1612903226,16,50582148.78,154166922.96,9622838.81,36032378.9,31074884.25,273285.771889401
2011,4,1.3041144333,5930068.33333333,7776981.97274333,43498.67684,17.7666666667,0.0056683421,0,15.0333333333,0,0.7159175109,85029.26257414,11249.5182261667,5.3415228563,12.154164769,4.4447455424,3898.8666666667,2436.4,415814.933333333,2436.4,2022.9666666667,461811.476039027,175843.766666667,247990.7,15.5,50372574.32,149969814.62,9787373.51,34869432.4,31134037.53,243152.204301075
2011,5,6.6118512903,6226032.25806452,41345237.3035645,195436.630283871,45.3548387097,0.0086085679,0,23.7096774194,0,2.2142391703,210679.482130839,72646.7392074194,13.3823564713,11.9446384476,16.2515379079,8196.6774193548,4399.7096774194,518270.290322581,4399.7096774194,3775.5161290323,382379.080815548,141201.548387097,1003023.80645161,16,49217211,150002252.23,5284084.93,34292895.06,29490449.71,295963.924731183
2011,6,19.6451803333,6555663.33333333,128698119.494867,1047953.33216667,127.6,0.021784446,0,53.7666666667,0,8.345550338,827558.248611133,206902.956697333,28.1355234467,8.5346630781,19.4001360776,20604.1,10552.8,750124,10552.8,6936.0333333333,2424445.46600647,173916.3,3504040.43333333,15.5,50818712.59,150821160.4,9295722.28,36918254.79,31040550.11,329631.075268817
2011,7,14.7593625484,6830269.35483871,100760107.238352,478540.556041935,241.3225806452,0.0239002114,0,54.1612903226,0,12.4412289681,1576944.1069529,117384.168013968,12.3945237858,13.1798632489,13.6804166492,21838.8387096774,8631.0967741936,1051235.5483871,8631.0967741936,7732.8387096774,1225451.19387277,66471.2903225807,983141.35483871,16,49951870.87,173233573.21,7810179.89,39502197.22,32030088.84,274606.021505376
